SEXO,EDAD,NIVEL_LOGRO,PREG1,PREG2,PREG3,PREG4,PREG5,PREG6,PREG7,PREG8,PREG9,PREG10,PERMUTACION_ID,CLUSTER_ID
1,-0.4761021998638143,2,1,1,1,1,0,1,0,1,0,0,13,5
0,1.0818238468109702,1,0,0,0,1,1,0,0,0,0,1,13,5
0,-0.4761021998638143,0,0,0,0,0,0,0,0,0,0,0,51,44
1,-0.4761021998638143,0,0,1,0,0,0,0,0,0,0,1,20,46
1,-0.4761021998638143,2,0,0,1,1,0,1,1,0,0,1,47,73
1,1.0818238468109702,0,1,0,0,0,0,0,1,0,0,0,11,2
1,-0.4761021998638143,1,0,0,0,1,1,0,0,0,0,1,16,86
0,1.0818238468109702,2,0,1,1,0,1,0,1,0,1,1,67,87
0,-0.4761021998638143,2,1,0,1,0,1,1,0,1,1,1,47,73
1,-2.0340282465385986,0,1,0,0,0,0,0,0,0,0,0,1,13
0,1.0818238468109702,2,1,1,0,1,1,0,1,0,0,0,3,93
1,-0.4761021998638143,2,0,1,1,1,0,0,0,0,1,1,31,15
1,-0.4761021998638143,2,0,1,0,1,0,1,1,0,1,0,57,60
1,1.0818238468109702,2,1,1,0,0,1,1,0,1,1,1,62,17
0,1.0818238468109702,0,0,0,0,0,0,1,0,0,0,0,62,17
1,1.0818238468109702,0,0,0,0,0,0,0,0,0,0,0,62,17
0,1.0818238468109702,1,0,0,1,0,0,1,1,0,0,0,50,28
1,1.0818238468109702,2,1,0,1,1,1,0,1,1,1,0,55,4
1,-2.0340282465385986,3,1,1,0,1,1,0,1,1,1,1,70,45
0,-0.4761021998638143,1,0,0,1,0,1,0,1,1,0,0,37,25
1,1.0818238468109702,2,1,0,0,1,1,1,1,1,0,0,50,28
1,-0.4761021998638143,3,1,1,1,1,0,1,1,1,0,1,62,17
0,1.0818238468109702,1,0,0,0,1,1,0,0,0,1,1,71,24
0,1.0818238468109702,2,0,0,0,1,1,0,1,1,1,0,55,4
0,-0.4761021998638143,2,1,0,1,0,0,1,0,1,1,1,62,17
0,1.0818238468109702,2,0,0,1,1,0,1,0,1,1,0,57,60
0,-0.4761021998638143,1,1,1,1,0,0,0,1,0,0,0,1,13
1,-0.4761021998638143,1,0,0,0,0,1,1,0,0,1,0,62,17
0,1.0818238468109702,3,1,0,1,1,1,1,1,1,1,1,62,17
0,-0.4761021998638143,2,0,0,1,1,1,1,1,0,1,1,47,73
1,-0.4761021998638143,2,0,1,1,1,1,1,0,0,1,1,17,53
0,-0.4761021998638143,2,0,1,1,1,1,0,1,0,1,0,8,48
1,1.0818238468109702,2,1,0,1,0,1,1,0,1,1,1,57,60
0,1.0818238468109702,1,1,0,0,0,1,0,0,1,0,1,8,48
0,1.0818238468109702,2,0,1,1,0,0,1,1,0,0,1,50,28
1,1.0818238468109702,2,1,0,0,1,0,0,1,1,1,0,55,4
1,-0.4761021998638143,2,0,1,1,0,0,1,1,0,1,0,57,60
1,1.0818238468109702,2,1,0,0,0,1,0,1,1,1,1,67,87
1,1.0818238468109702,2,1,0,1,0,0,1,1,0,1,1,72,59
1,-0.4761021998638143,1,0,0,0,1,0,1,1,0,1,0,62,17
0,-0.4761021998638143,3,0,1,1,1,1,1,1,1,0,1,47,73
0,1.0818238468109702,1,0,0,1,0,0,1,1,0,0,0,50,28
1,1.0818238468109702,2,0,1,0,1,0,1,1,0,0,1,56,90
1,1.0818238468109702,1,0,0,1,0,0,0,1,1,0,1,9,31
1,1.0818238468109702,2,0,1,0,0,0,0,1,1,1,1,67,87
0,-0.4761021998638143,2,1,0,0,0,1,0,1,1,1,1,30,50
0,1.0818238468109702,1,1,0,0,0,1,0,1,0,1,0,73,39
1,-0.4761021998638143,2,0,1,1,1,0,1,1,0,1,0,56,90
0,-2.0340282465385986,3,1,1,1,1,1,1,1,0,1,1,56,90
1,1.0818238468109702,1,0,0,1,1,0,0,0,1,0,1,26,8
1,-0.4761021998638143,1,0,1,1,0,0,1,0,0,0,1,47,73
0,1.0818238468109702,2,0,0,1,1,1,0,0,1,1,1,71,24
1,-0.4761021998638143,0,0,0,0,0,1,0,0,0,1,0,71,24
1,-0.4761021998638143,2,1,1,1,0,0,1,1,0,1,0,62,17
0,-0.4761021998638143,2,1,0,1,0,1,0,1,1,0,0,3,93
1,-0.4761021998638143,2,1,1,1,0,1,0,0,1,0,0,54,18
1,-0.4761021998638143,3,1,1,1,1,1,1,0,1,1,1,17,53
1,-0.4761021998638143,3,1,1,0,1,1,1,1,1,1,1,17,53
0,1.0818238468109702,2,0,1,0,0,0,1,1,1,1,1,9,31
1,-0.4761021998638143,0,0,0,0,0,0,0,0,0,0,0,17,53
0,-0.4761021998638143,1,1,1,0,0,1,0,0,0,0,0,15,11
0,-0.4761021998638143,2,0,0,0,1,1,1,0,1,1,1,47,73
1,1.0818238468109702,0,0,0,1,0,0,0,0,0,1,0,45,30
0,-0.4761021998638143,2,1,0,1,0,0,1,1,0,1,0,62,17
0,1.0818238468109702,0,1,0,1,0,0,0,0,0,0,0,54,18
1,1.0818238468109702,0,0,0,0,0,0,0,0,1,0,1,31,15
1,-0.4761021998638143,0,0,1,0,0,0,0,0,0,0,1,26,8
1,-0.4761021998638143,2,1,0,1,1,0,0,0,1,1,0,74,96
1,1.0818238468109702,0,0,0,0,0,0,0,0,0,1,0,72,59
0,1.0818238468109702,0,1,0,1,0,0,0,0,0,0,0,54,18
0,1.0818238468109702,1,0,0,0,0,0,0,1,1,0,1,33,88
0,-2.0340282465385986,0,0,0,0,0,1,0,0,0,1,0,71,24
1,-0.4761021998638143,2,1,1,1,1,0,1,0,0,0,0,60,36
1,-0.4761021998638143,2,0,0,0,1,1,1,0,1,0,1,47,73
1,-0.4761021998638143,2,0,0,0,1,1,0,1,1,1,1,31,15
1,-0.4761021998638143,2,1,1,0,1,0,0,1,0,0,1,24,79
0,1.0818238468109702,1,0,0,1,0,1,0,0,1,0,0,4,37
0,-0.4761021998638143,3,1,1,1,1,1,1,1,1,1,1,47,73
0,1.0818238468109702,2,1,0,1,0,0,1,0,0,1,1,72,59
1,1.0818238468109702,2,1,1,0,1,0,0,1,1,0,1,33,88
0,-0.4761021998638143,2,1,0,0,0,1,1,1,1,1,1,17,53
1,1.0818238468109702,2,1,1,0,1,0,0,0,1,0,1,16,86
0,-0.4761021998638143,2,1,0,0,1,1,0,1,1,1,1,31,15
0,1.0818238468109702,2,0,1,1,1,0,1,0,1,1,0,75,95
0,-0.4761021998638143,1,0,1,0,0,1,0,0,0,1,0,76,62
1,-2.0340282465385986,1,1,0,0,1,0,0,0,0,1,0,77,72
1,1.0818238468109702,3,1,1,1,1,1,1,1,1,0,1,56,90
0,-0.4761021998638143,1,1,0,0,1,0,0,1,0,0,1,24,79
0,1.0818238468109702,1,0,0,1,1,0,1,0,1,0,0,60,36
1,-0.4761021998638143,0,0,0,1,0,0,0,0,1,0,0,78,67
0,-0.4761021998638143,2,0,1,0,1,1,1,0,1,1,1,17,53
1,-0.4761021998638143,3,1,1,1,1,1,1,0,1,1,0,57,60
1,-0.4761021998638143,2,0,1,0,1,0,1,0,1,1,1,17,53
0,-0.4761021998638143,1,0,0,0,0,0,0,1,0,1,1,31,15
0,1.0818238468109702,0,1,0,0,1,0,0,0,0,0,0,22,35
1,1.0818238468109702,1,1,0,0,1,1,0,0,0,0,1,29,63
0,1.0818238468109702,2,1,0,0,0,1,1,0,1,1,1,72,59
0,1.0818238468109702,0,0,0,0,0,0,1,0,0,0,0,62,17
1,-0.4761021998638143,2,1,0,0,1,1,1,0,0,1,0,57,60
1,1.0818238468109702,0,0,0,0,0,0,0,0,0,0,0,62,17
1,-0.4761021998638143,2,0,0,1,1,1,1,1,0,1,1,17,53
1,1.0818238468109702,0,0,0,1,0,0,0,0,1,0,0,79,51
0,-0.4761021998638143,2,1,0,1,0,1,0,0,1,1,0,76,62
0,1.0818238468109702,2,0,0,1,0,1,1,0,0,1,1,72,59
1,1.0818238468109702,0,0,0,0,0,0,0,0,0,0,0,72,59
1,1.0818238468109702,1,0,1,0,0,0,0,1,1,0,0,41,77
0,1.0818238468109702,1,0,1,0,1,0,0,0,0,1,0,77,72
1,1.0818238468109702,2,0,1,1,0,0,1,0,1,0,1,47,73
0,1.0818238468109702,2,0,0,0,1,0,0,1,1,1,1,18,70
0,-0.4761021998638143,1,0,1,1,0,0,0,1,0,1,0,55,4
0,-0.4761021998638143,1,0,1,1,0,1,0,0,0,0,1,16,86
0,-0.4761021998638143,1,0,1,0,0,0,1,1,0,0,0,50,28
0,-2.0340282465385986,2,0,0,0,1,0,1,1,1,0,1,47,73
0,-0.4761021998638143,1,1,1,1,0,0,0,0,1,0,0,49,65
0,-0.4761021998638143,1,0,1,0,0,0,1,1,0,0,1,47,73
1,-0.4761021998638143,0,1,0,0,0,0,0,0,0,0,0,1,13
1,1.0818238468109702,2,0,1,1,0,0,1,1,0,1,0,62,17
1,1.0818238468109702,1,0,1,1,0,0,1,1,0,0,0,50,28
1,-0.4761021998638143,1,0,1,1,0,0,1,0,0,1,0,57,60
0,-0.4761021998638143,2,1,1,0,0,1,1,1,1,0,0,42,78
0,-0.4761021998638143,2,1,0,0,1,0,1,1,1,0,0,50,28
1,-0.4761021998638143,3,1,1,1,0,1,1,1,1,1,0,57,60
0,1.0818238468109702,2,0,0,1,1,1,0,0,1,0,1,16,86
1,-0.4761021998638143,2,0,1,0,1,1,0,1,0,1,0,76,62
0,-0.4761021998638143,1,0,0,1,0,0,0,1,0,1,1,18,70
1,1.0818238468109702,1,1,0,0,0,1,0,1,1,0,0,41,77
0,1.0818238468109702,2,0,0,1,1,1,1,0,0,1,1,72,59
1,-0.4761021998638143,0,0,0,0,0,0,0,0,1,0,0,59,82
1,1.0818238468109702,0,0,0,0,0,1,0,0,0,0,0,37,25
1,-0.4761021998638143,1,0,0,1,1,0,0,1,0,0,0,36,32
0,-0.4761021998638143,1,0,1,0,0,0,0,1,0,1,0,55,4
1,-2.0340282465385986,2,1,1,0,0,1,1,0,0,0,1,62,17
1,-0.4761021998638143,3,1,1,1,1,1,1,1,0,1,1,62,17
1,-0.4761021998638143,2,1,1,1,1,0,1,0,1,0,0,61,74
1,-0.4761021998638143,3,1,1,0,0,1,1,1,1,1,1,62,17
1,1.0818238468109702,0,0,0,0,0,0,1,0,0,1,0,62,17
0,1.0818238468109702,2,1,1,0,0,1,1,1,1,0,0,50,28
1,-0.4761021998638143,2,0,0,1,1,0,1,1,1,0,1,47,73
1,-2.0340282465385986,2,0,0,1,1,1,1,1,0,0,0,64,14
1,1.0818238468109702,2,1,1,0,1,0,0,1,1,0,1,33,88
0,-2.0340282465385986,1,1,0,0,0,0,1,1,0,0,0,50,28
0,1.0818238468109702,0,0,0,0,0,0,0,1,0,1,0,67,87
1,1.0818238468109702,2,0,1,0,1,0,1,1,1,0,1,56,90
1,-0.4761021998638143,1,1,0,0,0,1,1,0,1,0,0,51,44
0,-0.4761021998638143,2,0,0,0,1,0,1,1,1,1,0,62,17
1,-2.0340282465385986,0,0,1,0,0,0,1,0,0,0,0,51,44
0,-0.4761021998638143,2,0,0,1,1,0,0,1,1,1,0,55,4
0,-0.4761021998638143,0,0,0,0,0,0,0,0,0,0,0,62,17
0,1.0818238468109702,3,1,1,1,1,1,1,1,1,1,1,62,17
0,-0.4761021998638143,2,0,1,0,1,0,1,0,0,1,1,62,17
1,-0.4761021998638143,1,0,0,1,1,0,0,0,0,1,0,77,72
0,-0.4761021998638143,2,1,1,1,0,1,1,0,1,0,0,64,14
1,-0.4761021998638143,2,0,1,1,1,0,1,1,0,1,1,62,17
1,-2.0340282465385986,2,0,0,1,0,1,0,1,1,1,1,18,70
1,-2.0340282465385986,2,1,1,0,1,1,0,0,1,1,0,70,45
1,-2.0340282465385986,1,1,0,0,1,0,1,1,0,0,0,64,14
0,1.0818238468109702,1,0,1,0,0,0,1,0,0,1,0,57,60
1,-0.4761021998638143,2,1,1,0,1,1,0,1,0,1,0,76,62
1,1.0818238468109702,2,1,1,1,0,1,1,1,0,1,0,62,17
0,-0.4761021998638143,1,0,1,0,0,0,1,1,1,0,0,50,28
1,-0.4761021998638143,1,1,0,1,0,0,0,0,1,0,1,20,46
1,-0.4761021998638143,1,0,0,0,1,1,0,0,1,0,0,70,45
1,1.0818238468109702,3,1,1,0,1,1,1,1,0,1,1,62,17
1,-0.4761021998638143,2,0,1,1,0,1,0,1,1,0,0,41,77
1,-0.4761021998638143,3,0,1,1,0,1,1,1,1,1,1,62,17
0,-0.4761021998638143,2,1,1,0,0,1,0,1,1,1,1,67,87
1,-0.4761021998638143,2,1,1,1,1,1,0,0,1,1,0,76,62
1,-0.4761021998638143,3,1,1,1,1,1,1,0,1,1,1,62,17
0,1.0818238468109702,2,0,1,1,0,0,0,1,1,0,1,33,88
0,-0.4761021998638143,2,0,0,1,0,0,0,1,1,1,1,67,87
0,1.0818238468109702,2,0,0,1,1,1,1,0,0,1,0,62,17
1,-0.4761021998638143,3,1,1,1,1,1,1,1,0,1,1,62,17
1,1.0818238468109702,2,0,1,1,1,1,1,0,0,0,0,64,14
0,1.0818238468109702,1,0,0,0,0,0,1,1,1,0,1,56,90
1,-0.4761021998638143,2,1,1,1,1,0,1,0,1,0,0,64,14
0,1.0818238468109702,3,1,1,1,1,1,1,1,1,1,1,62,17
1,1.0818238468109702,1,0,0,1,0,1,1,0,1,0,0,61,74
1,-0.4761021998638143,3,1,1,1,1,0,1,1,0,1,1,57,60
1,-0.4761021998638143,3,1,1,1,1,1,1,1,1,1,1,57,60
0,1.0818238468109702,3,0,1,1,0,1,1,1,1,1,1,62,17
0,-0.4761021998638143,2,1,0,0,1,0,1,0,0,1,1,62,17
0,-2.0340282465385986,1,0,0,0,1,1,0,0,1,0,0,4,37
0,1.0818238468109702,1,1,0,0,1,0,0,1,0,0,0,7,49
1,-2.0340282465385986,1,0,0,0,1,0,0,1,0,0,1,36,32
1,1.0818238468109702,2,0,0,1,0,1,1,1,0,1,0,62,17
1,1.0818238468109702,0,0,0,0,0,1,0,0,0,0,1,25,34
1,1.0818238468109702,1,0,0,1,0,0,0,0,1,0,1,29,63
1,-2.0340282465385986,2,0,1,1,1,0,0,0,1,0,1,15,11
1,-0.4761021998638143,2,1,1,0,1,1,1,0,0,1,0,57,60
1,-0.4761021998638143,2,0,1,0,0,1,0,1,1,1,1,18,70
1,-0.4761021998638143,2,1,0,1,1,0,1,0,0,1,0,57,60
0,-2.0340282465385986,2,0,1,1,0,0,1,0,1,0,1,47,73
0,-0.4761021998638143,2,0,1,0,1,1,1,0,1,0,1,47,73
0,-0.4761021998638143,2,1,1,0,1,0,0,1,1,0,1,30,50
1,-0.4761021998638143,2,0,1,1,0,0,1,1,0,1,0,62,17
1,1.0818238468109702,1,0,0,0,1,0,1,0,0,0,1,47,73
0,1.0818238468109702,3,1,1,1,1,0,1,1,0,1,1,62,17
1,1.0818238468109702,2,1,1,0,0,1,0,0,1,0,1,30,50
1,1.0818238468109702,1,0,1,0,1,0,0,0,0,1,1,69,19
0,-0.4761021998638143,2,1,0,1,0,1,1,0,1,0,1,47,73
0,1.0818238468109702,1,0,1,1,1,0,0,0,0,1,0,74,96
1,1.0818238468109702,3,0,1,1,1,1,1,1,1,1,0,62,17
1,-0.4761021998638143,1,0,1,0,0,0,0,1,0,1,1,18,70
1,-0.4761021998638143,3,1,1,1,1,1,1,1,1,1,1,62,17
1,-0.4761021998638143,1,0,1,1,1,1,0,0,0,0,0,22,35
1,-0.4761021998638143,2,0,0,0,0,1,1,0,1,1,1,62,17
1,-0.4761021998638143,2,0,1,0,1,0,0,1,1,1,1,69,19
1,-0.4761021998638143,2,0,0,0,0,1,0,1,1,1,1,18,70
1,1.0818238468109702,1,1,0,0,0,0,0,1,0,1,1,67,87
0,-0.4761021998638143,1,0,0,1,1,0,1,0,1,0,0,64,14
0,-0.4761021998638143,2,0,1,0,1,1,0,1,1,1,0,55,4
0,1.0818238468109702,2,0,1,1,0,0,1,0,1,1,1,62,17
1,-0.4761021998638143,1,1,1,0,0,1,1,0,0,0,0,51,44
1,1.0818238468109702,1,0,1,0,1,0,0,1,0,0,1,9,31
1,-0.4761021998638143,2,1,1,1,0,0,1,1,0,1,1,62,17
0,1.0818238468109702,3,1,1,0,1,1,1,1,1,1,0,62,17
0,-2.0340282465385986,1,0,0,1,0,0,0,1,1,0,1,24,79
0,-0.4761021998638143,2,1,1,0,0,0,1,0,1,1,0,62,17
0,-2.0340282465385986,1,0,1,0,1,0,1,0,1,0,0,64,14
1,1.0818238468109702,0,0,0,0,0,1,0,0,0,1,0,71,24
0,1.0818238468109702,2,1,1,1,1,0,0,1,0,1,1,67,87
0,-0.4761021998638143,2,0,1,1,1,1,1,0,0,1,1,62,17
1,1.0818238468109702,1,0,0,1,1,1,0,0,0,0,1,29,63
0,-0.4761021998638143,2,1,0,1,1,0,1,1,0,0,0,50,28
1,1.0818238468109702,2,1,1,0,0,1,0,1,1,0,0,41,77
1,1.0818238468109702,1,0,0,0,0,0,0,1,0,1,1,67,87
0,-0.4761021998638143,0,0,0,0,0,0,0,0,0,0,0,62,17
1,-0.4761021998638143,3,1,1,1,1,1,0,1,1,1,1,18,70
1,1.0818238468109702,0,0,0,0,0,0,0,1,0,1,0,67,87
1,1.0818238468109702,2,1,0,1,1,0,1,0,1,0,0,64,14
0,1.0818238468109702,1,0,1,1,0,0,1,0,0,0,0,60,36
1,1.0818238468109702,2,1,1,1,1,0,1,0,0,1,0,57,60
0,-0.4761021998638143,2,1,0,1,1,0,0,1,1,1,1,18,70
0,1.0818238468109702,1,0,0,0,1,0,0,1,1,1,0,67,87
0,-0.4761021998638143,1,1,0,0,1,1,0,0,1,0,0,19,76
1,1.0818238468109702,1,1,1,0,0,1,0,1,0,0,0,2,89
0,-0.4761021998638143,3,1,1,1,0,1,1,1,0,1,1,62,17
0,-0.4761021998638143,2,0,0,1,0,0,1,1,0,1,1,62,17
1,-0.4761021998638143,2,1,0,0,1,0,0,1,1,1,1,18,70
0,-0.4761021998638143,2,0,1,0,0,1,0,1,1,1,0,67,87
0,-2.0340282465385986,3,0,1,1,1,1,1,1,1,1,1,62,17
0,1.0818238468109702,0,0,0,0,0,0,0,1,0,0,0,41,77
0,1.0818238468109702,3,1,1,1,1,1,1,1,1,1,1,62,17
0,-0.4761021998638143,3,1,1,1,1,1,1,1,1,1,1,62,17
0,1.0818238468109702,3,1,1,1,0,0,1,1,1,1,1,62,17
1,1.0818238468109702,2,1,0,0,1,1,1,1,1,0,1,56,90
0,-0.4761021998638143,0,0,0,0,0,0,1,0,0,0,0,62,17
0,-0.4761021998638143,0,1,0,0,1,0,0,0,0,0,0,39,81
1,1.0818238468109702,0,0,0,0,0,0,0,0,0,0,0,62,17
0,1.0818238468109702,2,0,1,1,1,0,0,1,0,1,1,67,87
1,-0.4761021998638143,2,0,1,0,1,1,0,0,1,0,1,29,63
0,1.0818238468109702,1,0,1,0,0,0,1,1,1,0,0,50,28
0,-2.0340282465385986,2,0,1,1,0,0,1,1,1,1,1,62,17
0,-0.4761021998638143,1,1,1,0,0,0,0,1,0,0,1,9,31
0,-0.4761021998638143,2,1,0,1,0,0,0,1,1,1,0,55,4
0,-0.4761021998638143,1,1,0,0,0,1,0,0,0,1,0,76,62
0,1.0818238468109702,2,0,1,1,0,1,1,1,0,1,0,72,59
0,1.0818238468109702,3,1,1,1,1,1,1,1,1,1,1,72,59
0,-0.4761021998638143,2,0,1,1,1,1,1,0,1,0,0,61,74
0,-0.4761021998638143,3,1,1,1,1,1,1,1,1,0,0,50,28
0,1.0818238468109702,2,1,1,0,0,0,1,1,0,1,0,62,17
0,1.0818238468109702,2,1,0,1,1,1,0,0,1,0,0,32,26
1,1.0818238468109702,1,1,1,0,0,0,0,0,1,1,0,67,87
1,1.0818238468109702,2,0,0,1,0,1,1,1,0,1,1,62,17
0,-0.4761021998638143,3,1,1,1,1,1,1,1,0,1,1,62,17
1,1.0818238468109702,0,0,1,0,0,0,0,0,0,0,1,26,8
1,-0.4761021998638143,0,0,0,0,0,0,0,1,0,0,0,41,77
0,-0.4761021998638143,1,0,0,0,1,1,0,1,0,1,0,55,4
1,-0.4761021998638143,1,0,0,1,0,1,0,0,1,1,0,77,72
1,-0.4761021998638143,1,1,0,0,0,1,0,0,1,1,0,67,87
0,1.0818238468109702,3,1,1,1,1,1,1,1,1,0,1,50,28
0,1.0818238468109702,1,0,1,1,0,1,0,1,0,0,0,27,29
1,-0.4761021998638143,3,1,1,0,1,1,1,0,1,1,1,62,17
1,-0.4761021998638143,2,0,1,1,0,0,1,0,1,1,1,62,17
0,-0.4761021998638143,2,1,1,1,0,1,1,0,1,0,0,42,78
0,-0.4761021998638143,1,1,1,0,0,0,0,1,0,0,1,9,31
0,1.0818238468109702,1,0,0,0,1,1,0,1,0,0,0,3,93
0,1.0818238468109702,0,0,0,1,0,0,0,0,0,0,0,38,83
1,1.0818238468109702,1,1,1,1,1,0,0,0,0,0,0,53,94
0,1.0818238468109702,1,1,0,0,0,0,0,1,0,0,1,9,31
0,1.0818238468109702,2,0,0,1,1,1,0,1,1,0,0,7,49
1,-0.4761021998638143,3,1,1,1,1,1,1,1,1,1,1,62,17
0,-0.4761021998638143,2,1,1,1,0,1,1,0,0,1,0,62,17
0,-0.4761021998638143,2,0,0,1,0,1,0,1,0,1,1,67,87
1,-0.4761021998638143,2,0,1,1,1,1,0,0,0,0,1,20,46
1,1.0818238468109702,2,1,0,0,1,0,1,1,0,1,1,62,17
1,-0.4761021998638143,0,0,0,0,1,0,0,1,0,0,0,6,92
1,-0.4761021998638143,2,1,0,0,1,1,1,1,1,0,0,50,28
0,-0.4761021998638143,0,0,0,0,0,0,0,0,0,0,0,62,17
0,1.0818238468109702,2,0,1,1,1,0,1,1,1,0,1,50,28
1,-0.4761021998638143,0,0,0,0,0,1,1,0,0,0,0,42,78
0,1.0818238468109702,2,1,0,1,0,0,0,1,0,1,1,73,39
0,1.0818238468109702,2,0,1,1,1,0,0,0,1,0,1,39,81
0,-0.4761021998638143,0,0,0,0,0,1,1,0,0,0,0,42,78
0,-0.4761021998638143,3,1,1,1,0,1,1,1,1,1,1,62,17
0,1.0818238468109702,2,0,0,1,1,1,0,1,0,1,1,73,39
0,-0.4761021998638143,3,0,1,1,1,0,1,1,1,1,1,62,17
0,1.0818238468109702,2,1,0,1,1,0,1,0,0,1,1,57,60
0,-0.4761021998638143,2,0,1,0,0,0,1,1,1,1,0,62,17
1,-2.0340282465385986,3,0,1,1,1,1,1,1,1,1,0,57,60
1,1.0818238468109702,1,0,0,0,1,0,1,0,0,1,0,57,60
1,1.0818238468109702,0,0,0,0,0,0,0,0,0,0,0,62,17
1,1.0818238468109702,2,1,1,0,0,1,1,1,0,1,0,62,17
0,1.0818238468109702,1,1,0,1,1,0,0,0,0,1,0,74,96
0,1.0818238468109702,0,0,0,0,0,0,0,0,0,0,0,41,77
1,1.0818238468109702,1,0,1,0,1,0,0,1,0,1,0,55,4
1,1.0818238468109702,3,1,1,1,1,1,1,1,1,0,1,50,28
1,-0.4761021998638143,2,1,1,0,1,0,1,0,0,0,1,47,73
0,-0.4761021998638143,2,1,0,1,1,0,1,0,0,0,1,47,73
0,1.0818238468109702,3,1,1,1,1,1,1,1,1,1,1,56,90
0,-0.4761021998638143,2,1,1,0,0,1,1,1,1,0,1,56,90
0,-0.4761021998638143,2,1,1,1,1,0,0,1,0,0,0,27,29
1,-0.4761021998638143,1,0,0,1,0,0,0,1,0,1,1,67,87
1,-0.4761021998638143,2,0,1,0,0,1,1,0,1,1,1,62,17
0,-0.4761021998638143,0,0,1,0,0,0,0,0,1,0,0,80,80
1,-2.0340282465385986,2,0,1,1,0,0,1,1,0,1,0,62,17
1,1.0818238468109702,2,1,1,1,0,0,1,0,1,1,1,62,17
0,-0.4761021998638143,2,0,1,0,1,1,1,0,0,0,1,47,73
0,-0.4761021998638143,1,0,0,1,0,1,0,0,1,1,0,45,30
0,-0.4761021998638143,2,1,1,0,0,1,1,1,0,0,0,50,28
0,-2.0340282465385986,2,1,1,0,1,1,1,1,0,0,1,56,90
0,-0.4761021998638143,2,1,0,1,0,1,0,0,0,1,1,69,19
0,1.0818238468109702,0,0,0,0,1,1,0,0,0,0,0,4,37
0,-2.0340282465385986,2,0,1,0,0,1,0,0,1,1,1,69,19
0,1.0818238468109702,0,0,0,0,1,0,0,0,1,0,0,70,45
1,-0.4761021998638143,2,1,1,0,0,0,1,1,0,1,1,62,17
0,-0.4761021998638143,2,1,1,1,0,1,1,1,1,0,0,50,28
1,-0.4761021998638143,1,0,1,1,0,0,1,0,0,0,1,60,36
0,-2.0340282465385986,0,0,0,0,0,0,0,1,0,1,0,9,31
1,1.0818238468109702,0,1,0,0,0,1,0,0,0,0,0,15,11
0,1.0818238468109702,2,0,1,1,1,1,1,0,0,0,0,60,36
0,1.0818238468109702,2,1,1,0,1,0,1,1,1,1,0,56,90
1,-0.4761021998638143,3,1,1,1,1,1,1,1,1,1,1,57,60
1,-0.4761021998638143,2,1,0,0,1,0,0,0,1,1,1,69,19
1,-0.4761021998638143,0,0,1,0,0,0,1,0,0,0,0,60,36
0,1.0818238468109702,3,1,1,1,1,1,1,1,1,1,1,56,90
0,-0.4761021998638143,2,1,1,1,0,0,0,1,0,1,0,55,4
1,1.0818238468109702,0,0,0,0,0,0,0,0,0,0,0,62,17
1,-0.4761021998638143,3,1,1,1,1,1,1,0,1,1,1,57,60
1,-0.4761021998638143,1,1,1,0,0,0,1,1,0,0,0,51,44
1,-0.4761021998638143,3,1,1,1,0,1,1,1,1,1,1,57,60
0,-2.0340282465385986,1,0,1,0,1,0,1,0,0,0,0,51,44
1,1.0818238468109702,1,0,1,0,1,1,1,0,0,0,0,51,44
0,-0.4761021998638143,2,1,0,1,1,0,0,1,1,1,0,55,4
0,1.0818238468109702,1,1,0,0,0,1,0,1,0,0,0,6,92
0,-2.0340282465385986,1,0,1,0,1,0,1,0,0,0,1,60,36
1,1.0818238468109702,0,0,0,0,0,0,0,0,0,0,0,62,17
0,-0.4761021998638143,2,0,1,0,1,1,1,0,0,0,1,60,36
0,1.0818238468109702,1,0,1,1,0,0,0,1,0,0,1,7,49
1,1.0818238468109702,2,0,1,1,1,1,0,1,1,0,1,27,29
0,1.0818238468109702,1,0,0,0,0,1,1,1,0,0,1,56,90
1,-0.4761021998638143,1,0,0,1,0,1,0,1,1,0,0,7,49
0,1.0818238468109702,1,0,0,1,0,1,1,1,0,0,0,50,28
0,-0.4761021998638143,1,1,1,1,0,0,1,0,0,0,0,51,44
1,-0.4761021998638143,2,1,1,1,0,1,0,0,1,1,1,81,64
0,-0.4761021998638143,2,1,1,1,1,1,0,1,0,0,1,27,29
0,-0.4761021998638143,1,1,1,0,0,0,1,0,1,0,0,51,44
0,1.0818238468109702,3,1,1,1,1,1,0,1,1,1,1,73,39
0,-2.0340282465385986,2,0,1,1,1,1,0,0,1,0,0,82,71
1,-0.4761021998638143,0,0,0,0,1,0,0,0,0,0,0,36,32
0,1.0818238468109702,1,1,0,0,0,0,0,1,0,0,1,9,31
1,-0.4761021998638143,0,0,0,1,0,1,0,0,0,0,0,21,21
0,1.0818238468109702,2,0,0,0,1,0,1,1,1,1,0,41,77
1,-0.4761021998638143,1,0,1,1,0,0,1,1,0,0,0,51,44
1,-0.4761021998638143,1,1,0,0,1,1,0,0,1,0,0,39,81
1,-0.4761021998638143,0,0,0,0,1,0,0,0,0,0,1,16,86
0,1.0818238468109702,2,1,1,1,0,0,1,1,0,0,1,43,16
0,1.0818238468109702,0,0,0,0,0,0,0,0,0,0,0,41,77
0,1.0818238468109702,2,0,1,1,1,1,0,1,0,1,0,73,39
1,-2.0340282465385986,1,1,0,0,0,0,1,1,1,0,0,50,28
